epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.99292,1.10811,0.48936,1,1.12744,0.00015719,0.00015719,0.00015719
2,6.85545,0.78032,0.51064,1,1.2041,0.000328019,0.000328019,0.000328019
3,7.26333,0.61779,0.78723,1,0.50134,0.000498169,0.000498169,0.000498169
4,7.65561,0.43571,0.89362,1,0.18854,0.000667641,0.000667641,0.000667641
5,8.0791,0.27378,0.97872,1,0.09772,0.000836433,0.000836433,0.000836433
6,8.51212,0.31322,0.97872,1,0.05569,0.00100455,0.00100455,0.00100455
7,8.92602,0.22648,0.91489,1,0.12787,0.00117198,0.00117198,0.00117198
8,9.3339,0.24785,0.93617,1,0.0936,0.00133873,0.00133873,0.00133873
9,9.773,0.19903,0.93617,1,0.11409,0.00140636,0.00140636,0.00140636
10,10.2156,0.37847,0.95745,1,0.05887,0.00140354,0.00140354,0.00140354
11,10.5883,0.2134,0.93617,1,0.22227,0.00140071,0.00140071,0.00140071
12,11.0278,0.20337,0.95745,1,0.25814,0.00139788,0.00139788,0.00139788
13,11.4201,0.16717,0.95745,1,0.06938,0.00139505,0.00139505,0.00139505
14,11.8749,0.12725,0.89362,1,0.30518,0.00139222,0.00139222,0.00139222
15,12.2822,0.24883,0.97872,1,0.03658,0.00138939,0.00138939,0.00138939
16,12.6902,0.20478,0.95745,1,0.17204,0.00138656,0.00138656,0.00138656
17,13.0981,0.26678,0.95745,1,0.11964,0.00138373,0.00138373,0.00138373
18,13.506,0.16537,0.97872,1,0.16615,0.0013809,0.0013809,0.0013809
19,13.9769,0.12873,0.95745,1,0.08087,0.00137807,0.00137807,0.00137807
20,14.4155,0.22292,0.95745,1,0.47217,0.00137524,0.00137524,0.00137524
21,14.902,0.26009,0.97872,1,0.11855,0.00137241,0.00137241,0.00137241
22,15.2943,0.14514,0.97872,1,0.0565,0.00136958,0.00136958,0.00136958
23,15.7178,0.21469,0.95745,1,0.07066,0.00136675,0.00136675,0.00136675
24,16.1096,0.15259,0.97872,1,0.14471,0.00136392,0.00136392,0.00136392
25,16.5175,0.22543,0.91489,1,0.20007,0.00136109,0.00136109,0.00136109
26,16.9299,0.12533,0.93617,1,0.17374,0.00135826,0.00135826,0.00135826
27,17.3493,0.22603,0.97872,1,0.08635,0.00135544,0.00135544,0.00135544
28,17.7723,0.13596,1,1,0.0116,0.00135261,0.00135261,0.00135261
29,18.1958,0.11961,0.95745,1,0.11346,0.00134978,0.00134978,0.00134978
30,18.5725,0.20598,0.93617,1,0.12808,0.00134695,0.00134695,0.00134695
31,18.9803,0.12867,0.95745,1,0.08462,0.00134412,0.00134412,0.00134412
32,19.357,0.07708,0.97872,1,0.03487,0.00134129,0.00134129,0.00134129
33,19.7644,0.10438,1,1,0.04395,0.00133846,0.00133846,0.00133846
34,20.141,0.24314,1,1,0.01845,0.00133563,0.00133563,0.00133563
35,20.5374,0.10815,0.95745,1,0.05984,0.0013328,0.0013328,0.0013328
36,20.9568,0.05512,0.89362,1,0.29449,0.00132997,0.00132997,0.00132997
37,21.3642,0.0764,0.95745,1,0.10585,0.00132714,0.00132714,0.00132714
38,21.7565,0.13552,0.97872,1,0.01776,0.00132431,0.00132431,0.00132431
39,22.1488,0.08731,0.97872,1,0.03186,0.00132148,0.00132148,0.00132148
40,22.525,0.06308,1,1,0.01559,0.00131865,0.00131865,0.00131865
41,22.9803,0.11244,1,1,0.00863,0.00131582,0.00131582,0.00131582
42,23.372,0.15621,1,1,0.0183,0.00131299,0.00131299,0.00131299
43,23.7955,0.12048,0.95745,1,0.09177,0.00131016,0.00131016,0.00131016
44,24.2034,0.08723,0.97872,1,0.02021,0.00130733,0.00130733,0.00130733
45,24.5957,0.11691,1,1,0.02082,0.00130451,0.00130451,0.00130451
46,25.0349,0.03575,0.97872,1,0.03061,0.00130168,0.00130168,0.00130168
47,25.4115,0.10127,1,1,0.01645,0.00129885,0.00129885,0.00129885
48,25.8351,0.13184,0.97872,1,0.05863,0.00129602,0.00129602,0.00129602
49,26.2117,0.08084,0.97872,1,0.12316,0.00129319,0.00129319,0.00129319
50,26.604,0.16022,0.97872,1,0.03233,0.00129036,0.00129036,0.00129036
51,26.9958,0.057,0.97872,1,0.03765,0.00128753,0.00128753,0.00128753
52,27.4037,0.08126,1,1,0.03471,0.0012847,0.0012847,0.0012847
53,27.8272,0.18043,1,1,0.02671,0.00128187,0.00128187,0.00128187
54,28.2507,0.19481,1,1,0.02065,0.00127904,0.00127904,0.00127904
55,28.6112,0.09634,0.93617,1,0.20892,0.00127621,0.00127621,0.00127621
56,29.0348,0.12414,0.91489,1,0.14355,0.00127338,0.00127338,0.00127338
57,29.3958,0.04259,0.95745,1,0.12335,0.00127055,0.00127055,0.00127055
58,29.8666,0.12564,0.97872,1,0.10327,0.00126772,0.00126772,0.00126772
59,30.2584,0.05251,0.97872,1,0.02339,0.00126489,0.00126489,0.00126489
60,30.6663,0.06592,0.97872,1,0.03183,0.00126206,0.00126206,0.00126206
61,31.0425,0.06274,1,1,0.02229,0.00125923,0.00125923,0.00125923
62,31.4192,0.08491,1,1,0.00445,0.00125641,0.00125641,0.00125641
63,31.8901,0.04949,0.97872,1,0.01452,0.00125358,0.00125358,0.00125358
64,32.3287,0.13466,1,1,0.01072,0.00125075,0.00125075,0.00125075
65,32.7839,0.13529,1,1,0.01609,0.00124792,0.00124792,0.00124792
66,33.3487,0.0668,1,1,0.01223,0.00124509,0.00124509,0.00124509
67,33.7726,0.04556,1,1,0.00587,0.00124226,0.00124226,0.00124226
68,34.18,0.07802,1,1,0.00932,0.00123943,0.00123943,0.00123943
69,34.5678,0.03374,0.97872,1,0.04794,0.0012366,0.0012366,0.0012366
70,34.9959,0.08608,0.97872,1,0.03008,0.00123377,0.00123377,0.00123377
71,35.4194,0.06661,0.97872,1,0.02292,0.00123094,0.00123094,0.00123094
72,35.8112,0.13044,1,1,0.01423,0.00122811,0.00122811,0.00122811
73,36.2191,0.02719,1,1,0.00708,0.00122528,0.00122528,0.00122528
74,36.6742,0.12221,1,1,0.03143,0.00122245,0.00122245,0.00122245
75,37.0731,0.08909,1,1,0.02551,0.00121962,0.00121962,0.00121962
76,37.4895,0.03246,1,1,0.02795,0.00121679,0.00121679,0.00121679
77,37.913,0.08735,1,1,0.01007,0.00121396,0.00121396,0.00121396
78,38.3052,0.05317,1,1,0.01954,0.00121113,0.00121113,0.00121113
79,38.7287,0.10995,1,1,0.00733,0.00120831,0.00120831,0.00120831
80,39.1523,0.04536,1,1,0.0009,0.00120548,0.00120548,0.00120548
81,39.5913,0.0796,1,1,0.00056,0.00120265,0.00120265,0.00120265
82,39.9992,0.07788,1,1,0.00185,0.00119982,0.00119982,0.00119982
83,40.38,0.05953,1,1,0.00698,0.00119699,0.00119699,0.00119699
84,40.7994,0.06813,1,1,0.00293,0.00119416,0.00119416,0.00119416
85,41.2068,0.03883,1,1,0.00188,0.00119133,0.00119133,0.00119133
86,41.599,0.04912,1,1,0.00238,0.0011885,0.0011885,0.0011885
87,42.0225,0.06949,1,1,0.00062,0.00118567,0.00118567,0.00118567
88,42.446,0.04678,1,1,0.0012,0.00118284,0.00118284,0.00118284
89,42.8851,0.06124,1,1,0.00509,0.00118001,0.00118001,0.00118001
90,43.293,0.07929,1,1,0.00223,0.00117718,0.00117718,0.00117718
91,43.7322,0.0568,1,1,0.0019,0.00117435,0.00117435,0.00117435
92,44.1713,0.08344,1,1,0.02887,0.00117152,0.00117152,0.00117152
93,44.5792,0.05089,0.97872,1,0.11414,0.00116869,0.00116869,0.00116869
94,44.9896,0.0854,1,1,0.00232,0.00116586,0.00116586,0.00116586
95,45.3949,0.05171,1,1,0.00084,0.00116303,0.00116303,0.00116303
96,45.834,0.03677,1,1,0.00042,0.00116021,0.00116021,0.00116021
97,46.2419,0.02595,1,1,0.00094,0.00115738,0.00115738,0.00115738
98,46.6965,0.02506,1,1,0.00236,0.00115455,0.00115455,0.00115455
99,47.1357,0.05947,1,1,0.00143,0.00115172,0.00115172,0.00115172
100,47.6222,0.03796,1,1,0.00214,0.00114889,0.00114889,0.00114889
101,48.03,0.05798,1,1,0.00814,0.00114606,0.00114606,0.00114606
102,48.4843,0.02993,1,1,0.00611,0.00114323,0.00114323,0.00114323
103,49.018,0.04533,1,1,0.00527,0.0011404,0.0011404,0.0011404
104,49.4259,0.01738,1,1,0.00971,0.00113757,0.00113757,0.00113757
105,49.8651,0.06974,1,1,0.00484,0.00113474,0.00113474,0.00113474
106,50.3041,0.03511,1,1,0.02878,0.00113191,0.00113191,0.00113191
107,50.7434,0.06774,1,1,0.00358,0.00112908,0.00112908,0.00112908
108,51.12,0.02466,1,1,0.00091,0.00112625,0.00112625,0.00112625
109,51.5123,0.03415,1,1,0.00073,0.00112342,0.00112342,0.00112342
110,51.9357,0.082,1,1,0.00021,0.00112059,0.00112059,0.00112059
111,52.3436,0.0096,1,1,0.00065,0.00111776,0.00111776,0.00111776
112,52.7514,0.01693,1,1,0.00097,0.00111493,0.00111493,0.00111493
113,53.128,0.03528,1,1,0.00185,0.0011121,0.0011121,0.0011121
114,53.5509,0.06951,1,1,0.00909,0.00110928,0.00110928,0.00110928
115,53.9904,0.0274,1,1,0.0142,0.00110645,0.00110645,0.00110645
116,54.3826,0.01399,0.97872,1,0.02251,0.00110362,0.00110362,0.00110362
117,54.8221,0.02184,0.97872,1,0.02596,0.00110079,0.00110079,0.00110079
118,55.2299,0.03622,0.97872,1,0.02635,0.00109796,0.00109796,0.00109796
119,55.669,0.0594,1,1,0.02089,0.00109513,0.00109513,0.00109513
120,56.0925,0.04372,1,1,0.00394,0.0010923,0.0010923,0.0010923
121,56.4998,0.03795,1,1,0.00462,0.00108947,0.00108947,0.00108947
122,56.9549,0.02492,1,1,0.00552,0.00108664,0.00108664,0.00108664
123,57.3627,0.03259,0.97872,1,0.01981,0.00108381,0.00108381,0.00108381
124,57.771,0.08377,1,1,0.0008,0.00108098,0.00108098,0.00108098
125,58.1632,0.02812,1,1,0.0007,0.00107815,0.00107815,0.00107815
126,58.5554,0.03177,1,1,0.0052,0.00107532,0.00107532,0.00107532
127,58.9944,0.03395,1,1,0.00045,0.00107249,0.00107249,0.00107249
128,59.371,0.02177,1,1,0.00016,0.00106966,0.00106966,0.00106966
129,59.857,0.01331,1,1,0.00017,0.00106683,0.00106683,0.00106683
130,60.2493,0.00291,1,1,0.00015,0.001064,0.001064,0.001064
131,60.7202,0.01857,1,1,0.00017,0.00106118,0.00106118,0.00106118
132,61.1436,0.02688,1,1,0.00035,0.00105835,0.00105835,0.00105835
133,61.5359,0.04496,1,1,0.00061,0.00105552,0.00105552,0.00105552
134,61.9594,0.01762,1,1,0.0049,0.00105269,0.00105269,0.00105269
135,62.3516,0.0258,1,1,0.00173,0.00104986,0.00104986,0.00104986
136,62.759,0.01509,1,1,0.00077,0.00104703,0.00104703,0.00104703
137,63.1356,0.02845,1,1,0.00031,0.0010442,0.0010442,0.0010442
138,63.5435,0.02117,1,1,0.00025,0.00104137,0.00104137,0.00104137
139,63.9515,0.07222,1,1,0.00014,0.00103854,0.00103854,0.00103854
140,64.3433,0.02637,1,1,0.00021,0.00103571,0.00103571,0.00103571
141,64.7981,0.0153,1,1,0.00035,0.00103288,0.00103288,0.00103288
142,65.1748,0.08504,1,1,0.01544,0.00103005,0.00103005,0.00103005
143,65.5514,0.04333,0.97872,1,0.12474,0.00102722,0.00102722,0.00102722
144,65.9436,0.05179,0.97872,1,0.05887,0.00102439,0.00102439,0.00102439
145,66.3354,0.05423,0.97872,1,0.03995,0.00102156,0.00102156,0.00102156
146,66.7433,0.04895,0.97872,1,0.05544,0.00101873,0.00101873,0.00101873
147,67.1668,0.01402,0.97872,1,0.04435,0.0010159,0.0010159,0.0010159
148,67.5591,0.02193,0.97872,1,0.03489,0.00101308,0.00101308,0.00101308
149,68.0133,0.05336,0.95745,1,0.0598,0.00101025,0.00101025,0.00101025
150,68.4373,0.07944,1,1,0.01028,0.00100742,0.00100742,0.00100742
151,68.8371,0.02345,1,1,0.00669,0.00100459,0.00100459,0.00100459
152,69.238,0.01822,1,1,0.00667,0.00100176,0.00100176,0.00100176
153,69.6293,0.01238,1,1,0.00131,0.000998928,0.000998928,0.000998928
154,70.0368,0.00567,1,1,0.00112,0.000996099,0.000996099,0.000996099
155,70.429,0.03146,1,1,0.00334,0.000993269,0.000993269,0.000993269
156,70.8529,0.01736,0.97872,1,0.01548,0.00099044,0.00099044,0.00099044
157,71.2452,0.01114,0.95745,1,0.09211,0.00098761,0.00098761,0.00098761
158,71.6365,0.02537,0.95745,1,0.10073,0.000984781,0.000984781,0.000984781
159,72.0132,0.03764,1,1,0.01178,0.000981952,0.000981952,0.000981952
160,72.4054,0.02828,1,1,0.00215,0.000979122,0.000979122,0.000979122
161,72.8607,0.00926,1,1,0.00245,0.000976293,0.000976293,0.000976293
162,73.2529,0.06411,1,1,0.01467,0.000973463,0.000973463,0.000973463
163,73.6469,0.01479,0.97872,1,0.03941,0.000970634,0.000970634,0.000970634
164,74.0476,0.02505,1,1,0.02455,0.000967805,0.000967805,0.000967805
165,74.4133,0.01949,1,1,0.00425,0.000964975,0.000964975,0.000964975
166,74.8997,0.02488,1,1,0.00065,0.000962146,0.000962146,0.000962146
167,75.3232,0.01549,1,1,0.00026,0.000959316,0.000959316,0.000959316
168,75.7311,0.05005,1,1,0.00028,0.000956487,0.000956487,0.000956487
169,76.1078,0.06005,1,1,0.00049,0.000953657,0.000953657,0.000953657
170,76.4995,0.01532,1,1,0.00136,0.000950828,0.000950828,0.000950828
171,76.9074,0.07979,1,1,0.00129,0.000947999,0.000947999,0.000947999
172,77.3153,0.01069,1,1,0.00201,0.000945169,0.000945169,0.000945169
173,77.7232,0.03391,1,1,0.00082,0.00094234,0.00094234,0.00094234
174,78.1155,0.05142,1,1,0.00185,0.00093951,0.00093951,0.00093951
175,78.4916,0.02975,0.97872,1,0.09663,0.000936681,0.000936681,0.000936681
176,78.978,0.04071,0.97872,1,0.06849,0.000933851,0.000933851,0.000933851
177,79.3703,0.14538,0.97872,1,0.02873,0.000931022,0.000931022,0.000931022
178,79.7782,0.04234,1,1,0.00351,0.000928193,0.000928193,0.000928193
179,80.17,0.11199,1,1,0.01059,0.000925363,0.000925363,0.000925363
180,80.5622,0.03291,0.97872,1,0.02935,0.000922534,0.000922534,0.000922534
