epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1245,3.33831,6.63573,1.19081,0.34052,0.02837,0.00505,0.00155,2.98246,15.7688,1.03382,0.00329412,0.00329412,0.00329412
2,24.5794,3.32909,2.81498,1.10582,0.01451,0.04621,0.00315,0.00083,2.75854,7.95859,0.95759,0.00661433,0.00661433,0.00661433
3,36.3879,3.4607,2.49609,1.13867,0.00109,0.04301,0.0005,9e-05,3.63349,68.4664,1.3576,0.00992134,0.00992134,0.00992134
4,48.0723,3.59888,2.41278,1.1701,0.00235,0.00709,0.00114,0.0002,3.22635,300.115,1.13605,0.0099406,0.0099406,0.0099406
5,60.3379,3.52856,2.23935,1.14428,0.03475,0.08213,0.01174,0.00354,3.06307,22.8051,0.94716,0.0099208,0.0099208,0.0099208
6,72.4289,3.50908,2.19556,1.12964,0.04238,0.27185,0.02736,0.00593,2.62988,30.5471,0.91947,0.009901,0.009901,0.009901
7,84.9215,3.3594,2.11561,1.13135,0.01542,0.12102,0.00743,0.00211,2.83251,29.8353,0.94416,0.0098812,0.0098812,0.0098812
8,97.2253,3.42765,2.08876,1.1046,0.05371,0.0501,0.02496,0.00367,2.87369,19.6038,0.94222,0.0098614,0.0098614,0.0098614
9,108.924,3.3193,1.99642,1.1082,0.04729,0.13956,0.02737,0.00727,2.64947,17.5244,0.94026,0.0098416,0.0098416,0.0098416
10,121.079,3.33912,1.95923,1.09722,0.03149,0.17456,0.01324,0.00393,2.52571,15.6793,0.89799,0.0098218,0.0098218,0.0098218
11,132.734,3.29275,1.91879,1.09915,0.02722,0.15671,0.01363,0.00285,2.87253,18.8698,0.91779,0.009802,0.009802,0.009802
12,144.778,3.22145,1.9151,1.07912,0.03124,0.17502,0.01786,0.00474,2.55449,19.0597,0.90621,0.0097822,0.0097822,0.0097822
13,156.432,3.23469,1.92464,1.07782,0.03113,0.17031,0.02181,0.00463,2.65474,17.7304,0.90494,0.0097624,0.0097624,0.0097624
14,167.96,3.16454,1.82963,1.0664,0.03848,0.17479,0.01932,0.00431,2.58576,19.1701,0.89873,0.0097426,0.0097426,0.0097426
15,179.581,3.12635,1.82975,1.07427,0.04804,0.13956,0.03625,0.01538,2.76508,19.2404,0.94914,0.0097228,0.0097228,0.0097228
16,191.736,3.14827,1.80285,1.06046,0.0608,0.22809,0.03424,0.00688,2.75111,20.1143,0.91834,0.009703,0.009703,0.009703
17,203.561,3.13497,1.84307,1.08222,0.05473,0.16426,0.03492,0.01022,2.47176,13.9314,0.88387,0.0096832,0.0096832,0.0096832
18,215.323,3.09609,1.8168,1.04868,0.0395,0.18165,0.02204,0.00738,2.52867,12.8426,0.90623,0.0096634,0.0096634,0.0096634
19,227.163,3.14106,1.82596,1.06405,0.03921,0.21025,0.01866,0.00447,2.58585,14.7047,0.88504,0.0096436,0.0096436,0.0096436
20,239.287,3.09934,1.79508,1.05038,0.03413,0.18554,0.02319,0.00801,2.23131,14.5147,0.84183,0.0096238,0.0096238,0.0096238
21,251.064,3.07429,1.78304,1.05953,0.06479,0.12857,0.03776,0.01213,2.62344,19.8724,0.88336,0.009604,0.009604,0.009604
22,262.671,3.11744,1.8062,1.05945,0.06012,0.10341,0.02079,0.00661,2.60939,16.4276,0.90573,0.0095842,0.0095842,0.0095842
23,274.245,3.1335,1.84272,1.06234,0.05372,0.2794,0.03018,0.00737,2.63007,15.2019,0.88757,0.0095644,0.0095644,0.0095644
24,286.007,3.00453,1.72947,1.04058,0.0496,0.2782,0.03469,0.0114,2.38028,14.4956,0.86947,0.0095446,0.0095446,0.0095446
25,297.895,3.06075,1.78324,1.03073,0.04347,0.25669,0.02633,0.00709,2.67734,19.2433,0.88157,0.0095248,0.0095248,0.0095248
26,309.652,3.05473,1.75047,1.0282,0.03006,0.06419,0.01205,0.00321,2.74814,20.2398,0.89603,0.009505,0.009505,0.009505
27,321.264,3.08965,1.77275,1.05806,0.05539,0.21391,0.0344,0.01031,2.57907,15.8341,0.8852,0.0094852,0.0094852,0.0094852
